id,code,name,active
cat_019_10402,10402,Fabricación de aceites y grasas vegetales y animales no comestibles,TRUE
cat_019_10409,10409,Servicio de maquilado de aceites,TRUE
cat_019_10501,10501,Fabricación de productos lácteos excepto sorbetes y quesos sustitutos,TRUE
cat_019_10502,10502,Fabricación de sorbetes y helados,TRUE
cat_019_10503,10503,Fabricación de quesos,TRUE
cat_019_10611,10611,Molienda de cereales,TRUE
cat_019_10612,10612,Elaboración de cereales para el desayuno y similares,TRUE
cat_019_10613,10613,Servicios de beneficiado de productos agrícolas ncp (excluye Beneficio de azúcar rama 1072 y beneficio de café rama 0163),TRUE
cat_019_10621,10621,Fabricación de almidón,TRUE
cat_019_10628,10628,Servicio de molienda de maíz húmedo molino para nixtamal,TRUE
cat_019_10711,10711,Elaboración de tortillas,TRUE
cat_019_10712,10712,"Fabricación de pan, galletas y barquillos",TRUE
cat_019_10713,10713,Fabricación de repostería,TRUE
cat_019_10721,10721,Ingenios azucareros,TRUE
cat_019_10722,10722,Molienda de caña de azúcar para la elaboración de dulces,TRUE
cat_019_10723,10723,Elaboración de jarabes de azúcar y otros similares,TRUE
cat_019_10724,10724,Maquilado de azúcar de caña,TRUE
cat_019_10730,10730,"Fabricación de cacao, chocolates y productos de confitería",TRUE
cat_019_10740,10740,"Elaboración de macarrones, fideos, y productos farináceos similares",TRUE
cat_019_10750,10750,Elaboración de comidas y platos preparados para la reventa en,TRUE
cat_019_10791,10791,Elaboración de productos de café,TRUE
cat_019_10792,10792,"Elaboración de especies, sazonadores y condimentos",TRUE
cat_019_10793,10793,"Elaboración de sopas, cremas y consomé",TRUE
cat_019_10794,10794,Fabricación de bocadillos tostados y/o fritos,TRUE
cat_019_10799,10799,Elaboración de productos alimenticios ncp,TRUE
cat_019_10800,10800,Elaboración de alimentos preparados para animales,TRUE
cat_019_11012,11012,Fabricación de aguardiente y licores,TRUE
cat_019_11020,11020,Elaboración de vinos,TRUE
cat_019_11030,11030,Fabricación de cerveza,TRUE
cat_019_11041,11041,Fabricación de aguas gaseosas,TRUE
cat_019_11042,11042,Fabricación y envasado de agua,TRUE
cat_019_11043,11043,Elaboración de refrescos,TRUE
cat_019_11048,11048,Maquilado de aguas gaseosas,TRUE
cat_019_11049,11049,Elaboración de bebidas no alcohólicas,TRUE
cat_019_12000,12000,Elaboración de productos de tabaco,TRUE
cat_019_13111,13111,Preparación de fibras textiles,TRUE
cat_019_13112,13112,Fabricación de hilados,TRUE
cat_019_13120,13120,Fabricación de telas,TRUE
cat_019_13130,13130,Acabado de productos textiles,TRUE
cat_019_13910,13910,Fabricación de tejidos de punto y ganchillo,TRUE
cat_019_13921,13921,Fabricación de productos textiles para el hogar,TRUE
cat_019_13922,13922,"Sacos, bolsas y otros artículos textiles",TRUE
cat_019_13929,13929,"Fabricación de artículos confeccionados con materiales textiles, excepto prendas de vestir n.c.p",TRUE
cat_019_13930,13930,Fabricación de tapices y alfombras,TRUE
cat_019_13941,13941,"Fabricación de cuerdas de henequén y otras fibras naturales (lazos, pitas)",TRUE
cat_019_13942,13942,Fabricación de redes de diversos materiales,TRUE
cat_019_13948,13948,"Maquilado de productos trenzables de cualquier material (petates, sillas, etc.)",TRUE
cat_019_13991,13991,"Fabricación de adornos, etiquetas y otros artículos para prendas de vestir",TRUE
cat_019_13992,13992,Servicio de bordados en artículos y prendas de tela,TRUE
cat_019_13999,13999,Fabricación de productos textiles ncp,TRUE
cat_019_14101,14101,"Fabricación de ropa interior, para dormir y similares",TRUE
cat_019_14102,14102,Fabricación de ropa para niños,TRUE
cat_019_14103,14103,Fabricación de prendas de vestir para ambos sexos,TRUE
cat_019_14104,14104,Confección de prendas a medida,TRUE
cat_019_14105,14105,Fabricación de prendas de vestir para deportes,TRUE
cat_019_14106,14106,Elaboración de artesanías de uso personal confeccionadas especialmente de materiales textiles,TRUE
